name,segment,ntpos,totalcount
P2_10,SynRNA_WT_PB2,1,8812.5
P2_10,SynRNA_WT_PB2,2,9019.5
P2_10,SynRNA_WT_PB2,3,9262.5
P2_10,SynRNA_WT_PB2,4,9373.5
P2_10,SynRNA_WT_PB2,5,9541.0
P2_10,SynRNA_WT_PB2,6,9721.0
P2_10,SynRNA_WT_PB2,7,9809.5
P2_10,SynRNA_WT_PB2,8,10438.5
P2_10,SynRNA_WT_PB2,9,10832.0
P2_10,SynRNA_WT_PB2,10,10904.5
P2_10,SynRNA_WT_PB2,11,11583.0
P2_10,SynRNA_WT_PB2,12,11714.0
P2_10,SynRNA_WT_PB2,13,12078.0
P2_10,SynRNA_WT_PB2,14,11970.0
P2_10,SynRNA_WT_PB2,15,12099.0
P2_10,SynRNA_WT_PB2,16,12578.5
P2_10,SynRNA_WT_PB2,17,12333.0
P2_10,SynRNA_WT_PB2,18,12013.5
P2_10,SynRNA_WT_PB2,19,13177.5
P2_10,SynRNA_WT_PB2,20,13327.0
P2_10,SynRNA_WT_PB2,21,13528.5
P2_10,SynRNA_WT_PB2,22,13666.0
P2_10,SynRNA_WT_PB2,23,13909.0
P2_10,SynRNA_WT_PB2,24,13962.5
P2_10,SynRNA_WT_PB2,25,14452.5
P2_10,SynRNA_WT_PB2,26,14955.0
P2_10,SynRNA_WT_PB2,27,15471.5
P2_10,SynRNA_WT_PB2,28,15733.5
P2_10,SynRNA_WT_PB2,29,15849.0
P2_10,SynRNA_WT_PB2,30,16044.5
P2_10,SynRNA_WT_PB2,31,15921.0
P2_10,SynRNA_WT_PB2,32,16323.5
P2_10,SynRNA_WT_PB2,33,16304.5
P2_10,SynRNA_WT_PB2,34,16401.5
P2_10,SynRNA_WT_PB2,35,16867.0
P2_10,SynRNA_WT_PB2,36,16679.5
P2_10,SynRNA_WT_PB2,37,16940.5
P2_10,SynRNA_WT_PB2,38,16741.5
P2_10,SynRNA_WT_PB2,39,17784.0
P2_10,SynRNA_WT_PB2,40,17006.0
P2_10,SynRNA_WT_PB2,41,18042.0
P2_10,SynRNA_WT_PB2,42,17789.0
P2_10,SynRNA_WT_PB2,43,17890.0
P2_10,SynRNA_WT_PB2,44,17870.0
P2_10,SynRNA_WT_PB2,45,18253.5
P2_10,SynRNA_WT_PB2,46,16132.0
P2_10,SynRNA_WT_PB2,47,18689.0
P2_10,SynRNA_WT_PB2,48,18658.0
P2_10,SynRNA_WT_PB2,49,19203.0
P2_10,SynRNA_WT_PB2,50,19121.5
P2_10,SynRNA_WT_PB2,51,19332.5
P2_10,SynRNA_WT_PB2,52,19258.5
P2_10,SynRNA_WT_PB2,53,19712.5
P2_10,SynRNA_WT_PB2,54,19835.5
P2_10,SynRNA_WT_PB2,55,19841.5
P2_10,SynRNA_WT_PB2,56,20603.0
P2_10,SynRNA_WT_PB2,57,20446.5
P2_10,SynRNA_WT_PB2,58,21157.0
P2_10,SynRNA_WT_PB2,59,21329.5
P2_10,SynRNA_WT_PB2,60,22430.0
P2_10,SynRNA_WT_PB2,61,21669.0
P2_10,SynRNA_WT_PB2,62,23053.5
P2_10,SynRNA_WT_PB2,63,23113.5
P2_10,SynRNA_WT_PB2,64,23719.5
P2_10,SynRNA_WT_PB2,65,23080.5
P2_10,SynRNA_WT_PB2,66,23714.5
P2_10,SynRNA_WT_PB2,67,20959.0
